Player,Pos,Age,Tm,G,PTS,TRB,AST,STL,BLK,FG%,3P%,2P%,FT%
Justin Jackson,SF,27,BOS,23,0.9,0.7,0.4,0.2,0.2,0.259,0.25,0.286,0.5
Quenton Jackson,PG,24,WAS,9,6.2,0.9,1.7,0.4,0.1,0.452,0.083,0.6,0.773
Reggie Jackson,PG,32,TOT,68,10.2,2.1,3.4,0.7,0.1,0.411,0.333,0.474,0.91
Reggie Jackson,PG,32,LAC,52,10.9,2.2,3.5,0.7,0.1,0.418,0.35,0.469,0.924
Reggie Jackson,PG,32,DEN,16,7.9,1.8,3.1,0.6,0.1,0.383,0.279,0.5,0.833
LeBron James,PF,38,LAL,55,28.9,8.3,6.8,0.9,0.6,0.5,0.321,0.58,0.768
Ty Jerome,SG,25,GSW,45,6.9,1.7,3,0.5,0.1,0.488,0.389,0.546,0.927
Isaiah Joe,SG,23,OKC,73,9.5,2.4,1.2,0.7,0.1,0.441,0.409,0.553,0.82
Alize Johnson,PF,26,SAS,4,1.8,2.5,0.3,0.3,0,0.5,0,0.75,0.5
Cameron Johnson,PF,26,TOT,42,15.5,4.4,1.9,1.2,0.3,0.47,0.404,0.548,0.842
Cameron Johnson,PF,26,PHO,17,13.9,3.8,1.5,0.9,0.4,0.474,0.455,0.5,0.818
Cameron Johnson,PF,26,BRK,25,16.6,4.8,2.1,1.4,0.3,0.468,0.372,0.572,0.851
Jalen Johnson,SF,21,ATL,70,5.6,4,1.2,0.5,0.5,0.491,0.288,0.587,0.628
James Johnson,PF,35,IND,18,2.8,1.7,0.8,0.4,0.3,0.449,0.2,0.559,0.5
Keldon Johnson,SF,23,SAS,63,22,5,2.9,0.7,0.2,0.452,0.329,0.523,0.749
Keon Johnson,SG,20,POR,40,4.7,1.1,1.5,0.5,0.2,0.376,0.346,0.402,0.659
Stanley Johnson,SF,26,SAS,30,5.8,3.2,2.2,0.5,0.2,0.533,0.45,0.573,0.667
Nikola Jokic,C,27,DEN,69,24.5,11.8,9.8,1.3,0.7,0.632,0.383,0.675,0.822
Carlik Jones,PG,25,CHI,7,2.9,0.7,0.9,0.3,0,0.4,0.5,0.333,0.625
Damian Jones,C,27,TOT,41,3.5,3,0.4,0.2,0.5,0.64,0.588,0.652,0.759
Damian Jones,C,27,LAL,22,2.5,2.5,0.2,0.1,0.5,0.541,0,0.588,0.75
Damian Jones,C,27,UTA,19,4.6,3.5,0.6,0.3,0.5,0.714,0.714,0.714,0.778
Derrick Jones Jr.,PF,25,CHI,64,5,2.4,0.5,0.5,0.6,0.5,0.338,0.587,0.738
Herbert Jones,PF,24,NOP,66,9.8,4.1,2.5,1.6,0.6,0.469,0.335,0.536,0.764
Kai Jones,C,22,CHO,46,3.4,2.7,0.3,0.4,0.7,0.558,0.211,0.624,0.731
Tre Jones,PG,23,SAS,68,12.9,3.6,6.6,1.3,0.1,0.459,0.285,0.506,0.86
Tyus Jones,PG,26,MEM,80,10.3,2.5,5.2,1,0.1,0.438,0.371,0.495,0.8
DeAndre Jordan,C,34,DEN,39,5.1,5.2,0.9,0.3,0.6,0.765,1,0.763,0.458
Cory Joseph,PG,31,DET,62,6.9,1.7,3.5,0.5,0.1,0.427,0.389,0.468,0.792
Nikola Jovic,PF,19,MIA,15,5.5,2.1,0.7,0.5,0.1,0.406,0.229,0.588,0.947
Johnny Juzang,SG,21,UTA,18,4.8,2.2,0.4,0.2,0.2,0.337,0.238,0.488,0.5
Mfiondu Kabengele,PF,25,BOS,4,1.5,2.5,0,0.5,0,0.286,0,0.5,1
Frank Kaminsky,C,29,TOT,36,2.5,1.4,0.9,0.2,0.1,0.492,0.394,0.6,0.875
Frank Kaminsky,C,29,ATL,26,2.7,1.4,0.8,0.2,0,0.568,0.478,0.667,0.833
Frank Kaminsky,C,29,HOU,10,1.8,1.6,1.1,0.1,0.3,0.316,0.2,0.444,1
Trevor Keels,SG,19,NYK,3,1,0.7,0,0,0,0.25,0.25,0,0
Luke Kennard,SG,26,TOT,59,9.3,2.7,1.5,0.5,0.1,0.492,0.494,0.487,0.949
Luke Kennard,SG,26,LAC,35,7.8,2.4,1.1,0.5,0.1,0.464,0.447,0.494,0.95
Luke Kennard,SG,26,MEM,24,11.3,3.1,2.3,0.5,0,0.526,0.54,0.471,0.947
Walker Kessler,C,21,UTA,74,9.2,8.4,0.9,0.4,2.3,0.72,0.333,0.723,0.516
Braxton Key,SF,25,DET,3,1.3,0.3,0,0,0,1,0,1,1
Louis King,PF,23,PHI,1,20,4,2,1,0,0.615,0.5,0.8,0
Corey Kispert,SF,23,WAS,74,11.1,2.8,1.2,0.4,0.1,0.497,0.424,0.637,0.852
Maxi Kleber,PF,31,DAL,37,5.9,3.6,1.4,0.3,0.8,0.456,0.348,0.667,0.711
Nathan Knight,C,25,MIN,38,3.7,1.5,0.3,0.3,0.2,0.568,0.364,0.644,0.684
Kevin Knox,SF-PF,23,TOT,63,6.6,2.8,0.5,0.4,0.2,0.458,0.349,0.596,0.767
Kevin Knox,SF,23,DET,42,5.6,2.6,0.4,0.3,0.3,0.469,0.371,0.651,0.788
Kevin Knox,PF,23,POR,21,8.5,3.3,0.9,0.5,0,0.444,0.314,0.554,0.741
Christian Koloko,C,22,TOR,58,3.1,2.9,0.5,0.4,1,0.48,0.083,0.514,0.627
John Konchar,SF,26,MEM,72,5.1,4.3,1.4,1.1,0.3,0.431,0.339,0.545,0.778
Furkan Korkmaz,SG,25,PHI,37,3.8,1.1,0.6,0.3,0.1,0.432,0.391,0.462,0.722
Luke Kornet,C,27,BOS,69,3.8,2.9,0.8,0.2,0.7,0.665,0.231,0.701,0.821
Vit Krejci,PG,22,ATL,29,1.2,0.9,0.6,0.2,0,0.405,0.238,0.625,0.5
Jonathan Kuminga,PF,20,GSW,67,9.9,3.4,1.9,0.6,0.5,0.525,0.37,0.59,0.652
Kyle Kuzma,PF,27,WAS,64,21.2,7.2,3.7,0.6,0.5,0.448,0.333,0.533,0.73
Anthony Lamb,SF,25,GSW,62,6.7,3.5,1.5,0.5,0.3,0.471,0.367,0.652,0.767
Jock Landale,C,27,PHO,69,6.6,4.1,1,0.2,0.4,0.528,0.25,0.621,0.752
Romeo Langford,SG,23,SAS,43,6.9,2.7,1.2,0.6,0.3,0.467,0.262,0.53,0.696
Jake LaRavia,PF,21,MEM,35,3,1.8,0.6,0.3,0.1,0.389,0.338,0.542,0.778
Zach LaVine,SG,27,CHI,77,24.8,4.5,4.2,0.9,0.2,0.485,0.375,0.556,0.848
A.J. Lawson,SG,22,TOT,15,3.7,1.4,0.1,0.1,0,0.5,0.4,0.632,0.25
A.J. Lawson,SG,22,MIN,1,2,1,0,0,0,1,0,1,0
A.J. Lawson,SG,22,DAL,14,3.9,1.4,0.1,0.1,0,0.488,0.4,0.611,0.25
Damion Lee,SG,30,PHO,74,8.2,3,1.3,0.4,0.1,0.442,0.445,0.439,0.904
Saben Lee,PG,23,TOT,25,6,1.8,2.7,0.8,0,0.405,0.367,0.418,0.737
Saben Lee,PG,23,PHI,2,3,0,1,0.5,0,0.75,0,1,0
Saben Lee,PG,23,PHO,23,6.3,2,2.8,0.8,0,0.393,0.379,0.398,0.737
Alex Len,C,29,SAC,26,1.7,2.3,0.5,0.2,0.4,0.533,0,0.571,0.688
Kawhi Leonard,SF,31,LAC,52,23.8,6.5,3.9,1.4,0.5,0.512,0.416,0.551,0.871
Meyers Leonard,C,30,MIL,9,4.8,3.8,0.1,0.2,0,0.483,0.389,0.636,0.889
Caris LeVert,SG,28,CLE,74,12.1,3.8,3.9,1,0.3,0.431,0.392,0.462,0.722
Kira Lewis Jr.,PG,21,NOP,25,4.6,1.3,0.9,0.4,0.1,0.455,0.441,0.463,0.864
Damian Lillard,PG,32,POR,58,32.2,4.8,7.3,0.9,0.3,0.463,0.371,0.574,0.914
Nassir Little,SF,22,POR,54,6.6,2.6,0.9,0.4,0.4,0.442,0.367,0.524,0.717
Isaiah Livers,PF,24,DET,52,6.7,2.8,0.8,0.5,0.5,0.417,0.365,0.541,0.821
Kenneth Lofton Jr.,PF,20,MEM,24,5,2.1,0.8,0.2,0.1,0.527,0.353,0.566,0.593
Kevon Looney,C,26,GSW,82,7,9.3,2.5,0.6,0.6,0.63,0,0.632,0.606
Brook Lopez,C,34,MIL,78,15.9,6.7,1.3,0.5,2.5,0.531,0.374,0.637,0.784
Robin Lopez,C,34,CLE,37,3,1.4,0.5,0.1,0.2,0.64,0.5,0.648,0.778
Kevin Love,PF,34,TOT,62,8.2,6.4,1.9,0.3,0.2,0.389,0.334,0.516,0.879
Kevin Love,PF,34,CLE,41,8.5,6.8,1.9,0.2,0.2,0.389,0.354,0.467,0.889
Kevin Love,PF,34,MIA,21,7.7,5.7,1.9,0.4,0.2,0.388,0.297,0.632,0.857
Kyle Lowry,PG,36,MIA,55,11.2,4.1,5.1,1,0.4,0.404,0.345,0.509,0.859
Trey Lyles,PF,27,SAC,74,7.6,4.1,0.9,0.4,0.4,0.458,0.363,0.595,0.815
Th‚o Maledon,PG,21,CHO,44,6.7,2.8,3.5,0.8,0.3,0.402,0.295,0.465,0.851
Sandro Mamukelashvili,C,23,TOT,43,6.1,4.3,1.4,0.3,0.3,0.422,0.303,0.511,0.684
Sandro Mamukelashvili,C,23,MIL,24,2.4,2.3,0.7,0.2,0.2,0.328,0.219,0.462,0.667
Sandro Mamukelashvili,C,23,SAS,19,10.8,6.8,2.4,0.5,0.4,0.453,0.343,0.524,0.692
Terance Mann,SG,26,LAC,81,8.8,3.4,2.3,0.5,0.3,0.519,0.389,0.598,0.78
Tre Mann,PG,21,OKC,67,7.7,2.3,1.8,0.6,0.2,0.393,0.315,0.475,0.764
Boban Marjanovic,C,34,HOU,31,3.3,1.9,0.3,0.2,0.1,0.683,0,0.695,0.741
Lauri Markkanen,PF,25,UTA,66,25.6,8.6,1.9,0.6,0.6,0.499,0.391,0.585,0.875
Naji Marshall,SF,25,NOP,77,9.1,3.6,2.5,0.7,0.2,0.433,0.303,0.513,0.789
Caleb Martin,SF,27,MIA,71,9.6,4.8,1.6,1,0.4,0.464,0.356,0.545,0.805
Cody Martin,SF,27,CHO,7,5,3.4,1.6,0.6,0.1,0.389,0.214,0.5,0.571
Kenyon Martin Jr.,SF,22,HOU,82,12.7,5.5,1.5,0.5,0.4,0.569,0.315,0.679,0.68
Tyrese Martin,SG,23,ATL,16,1.3,0.8,0.1,0.1,0,0.391,0.143,0.5,1
Garrison Mathews,SG,26,TOT,54,4.8,1.4,0.5,0.4,0.1,0.363,0.35,0.476,0.906
Garrison Mathews,SG,26,HOU,45,4.8,1.4,0.5,0.5,0.1,0.353,0.342,0.467,0.911
Garrison Mathews,SG,26,ATL,9,4.8,1.2,0.3,0.1,0.1,0.419,0.4,0.5,0.875
Bennedict Mathurin,SG,20,IND,78,16.7,4.1,1.5,0.6,0.2,0.434,0.323,0.488,0.828
Wesley Matthews,SF,36,MIL,52,3.4,2.2,0.7,0.4,0.3,0.363,0.315,0.528,0.857
Tyrese Maxey,SG,22,PHI,60,20.3,2.9,3.5,0.8,0.1,0.481,0.434,0.513,0.845
Skylar Mays,PG,25,POR,6,15.3,3.2,8.3,1,0.2,0.5,0.462,0.524,0.923
Miles McBride,PG,22,NYK,64,3.5,0.8,1.1,0.6,0.1,0.358,0.299,0.457,0.667
Mac McClung,SG,24,PHI,2,12.5,5,4.5,0,0,0.45,0.364,0.556,0.6
CJ McCollum,SG,31,NOP,75,20.9,4.4,5.7,0.9,0.5,0.437,0.389,0.469,0.769
T.J. McConnell,PG,30,IND,75,8.7,3.1,5.3,1.1,0.1,0.543,0.441,0.556,0.853
Jaden McDaniels,SF,22,MIN,79,12.1,3.9,1.9,0.9,1,0.517,0.398,0.588,0.736
Jalen McDaniels,SF,25,TOT,80,9.4,4.3,1.6,1,0.4,0.455,0.332,0.53,0.841
Jalen McDaniels,SF,25,CHO,56,10.6,4.8,2,1.2,0.5,0.447,0.322,0.534,0.846
Jalen McDaniels,SF,25,PHI,24,6.7,3.2,0.8,0.7,0.2,0.488,0.4,0.516,0.824
Doug McDermott,SF,31,SAS,64,10.2,2.2,1.4,0.2,0.1,0.457,0.413,0.516,0.757
JaVale McGee,C,35,DAL,42,4.4,2.5,0.3,0.1,0.6,0.64,0.4,0.65,0.585
Bryce McGowens,SG,20,CHO,46,5.3,2,1.2,0.3,0.1,0.396,0.325,0.443,0.75
Rodney McGruder,SG,31,DET,32,5.7,2.3,0.9,0.5,0,0.408,0.423,0.382,0.818
Jordan McLaughlin,PG,26,MIN,43,3.7,1.4,3.4,0.7,0.1,0.421,0.308,0.552,0.833
De'Anthony Melton,SG,24,PHI,77,10.1,4.1,2.6,1.6,0.5,0.425,0.39,0.484,0.793
Sam Merrill,SG,26,CLE,5,5,1.8,1,0.8,0,0.409,0.278,1,1
Chimezie Metu,PF,25,SAC,66,4.9,3,0.6,0.3,0.3,0.589,0.237,0.663,0.74
Khris Middleton,SF,31,MIL,33,15.1,4.2,4.9,0.7,0.2,0.436,0.315,0.516,0.902
Patty Mills,PG,34,BRK,40,6.2,1.1,1.4,0.4,0.1,0.411,0.366,0.493,0.833
Shake Milton,SG,26,PHI,76,8.4,2.5,3.2,0.3,0.2,0.479,0.378,0.521,0.853
Justin Minaya,SF,23,POR,4,4.3,3.8,1,0.5,1.3,0.304,0.25,0.364,0
Josh Minott,SF,20,MIN,15,3.1,1.7,0.3,0.3,0.4,0.5,0.333,0.533,1
Davion Mitchell,PG,24,SAC,80,5.6,1.3,2.3,0.6,0.2,0.454,0.32,0.584,0.806
Donovan Mitchell,SG,26,CLE,68,28.3,4.3,4.4,1.5,0.4,0.484,0.386,0.566,0.867
Evan Mobley,PF,21,CLE,79,16.2,9,2.8,0.8,1.5,0.554,0.216,0.595,0.674
Isaiah Mobley,PF,23,CLE,12,2.6,1.7,0.3,0.3,0.3,0.429,0.375,0.45,1
Chima Moneke,SF,27,SAC,2,1,1,0.5,0,0,0.5,0,0.5,0
Malik Monk,SG,24,SAC,77,13.5,2.6,3.9,0.6,0.3,0.448,0.359,0.538,0.889
Moses Moody,SG,20,GSW,63,4.8,1.7,0.8,0.3,0.1,0.476,0.363,0.641,0.698
Xavier Moon,SG,28,LAC,4,1.8,0.8,1.3,0,0,0.333,0.333,0.333,0
Wendell Moore Jr.,SG,21,MIN,29,1.4,0.6,0.6,0.3,0.2,0.419,0.118,0.615,0.8
Ja Morant,PG,23,MEM,61,26.2,5.9,8.1,1.1,0.3,0.466,0.307,0.519,0.748
Marcus Morris,PF,33,LAC,65,11.2,4,1.8,0.6,0.3,0.426,0.364,0.484,0.782
Markieff Morris,PF,33,TOT,35,3.8,2,0.9,0.3,0.1,0.409,0.394,0.432,1
Markieff Morris,PF,33,BRK,27,3.6,2.2,0.9,0.3,0.2,0.402,0.408,0.394,1
Markieff Morris,PF,33,DAL,8,4.5,1.5,0.8,0.1,0,0.424,0.364,0.545,0
Monte Morris,PG,27,WAS,62,10.3,3.4,5.3,0.7,0.2,0.48,0.382,0.543,0.831
Trey Murphy III,SF,22,NOP,79,14.5,3.6,1.4,1.1,0.5,0.484,0.406,0.611,0.905
Dejounte Murray,SG,26,ATL,74,20.5,5.3,6.1,1.5,0.3,0.464,0.344,0.514,0.832
Jamal Murray,PG,25,DEN,65,20,4,6.2,1,0.2,0.454,0.398,0.494,0.833
Keegan Murray,SF,22,SAC,80,12.2,4.6,1.2,0.8,0.5,0.453,0.411,0.527,0.765
Mike Muscala,C,31,TOT,63,6.1,3.2,0.8,0.2,0.4,0.449,0.391,0.588,0.769
Mike Muscala,C,31,OKC,43,6.2,3.1,0.9,0.3,0.4,0.438,0.394,0.541,0.795
Mike Muscala,C,31,BOS,20,5.9,3.4,0.6,0.2,0.3,0.472,0.385,0.708,0.692
Svi Mykhailiuk,SF,25,TOT,32,6.9,1.7,1.7,0.5,0.1,0.445,0.424,0.473,0.667
Svi Mykhailiuk,SF,25,NYK,13,1.6,0.5,0.1,0.1,0,0.5,0.6,0,0.6
Svi Mykhailiuk,SF,25,CHO,19,10.6,2.4,2.7,0.7,0.2,0.441,0.404,0.486,0.676
Larry Nance Jr.,C,30,NOP,65,6.8,5.4,1.8,0.9,0.6,0.61,0.333,0.654,0.696
Andrew Nembhard,SG,23,IND,75,9.5,2.7,4.5,0.9,0.2,0.441,0.35,0.504,0.79
Aaron Nesmith,SF,23,IND,73,10.1,3.8,1.3,0.8,0.5,0.427,0.366,0.496,0.838
Raul Neto,PG,30,CLE,48,3.3,1,1.6,0.4,0.1,0.518,0.286,0.662,0.912
Georges Niang,PF,29,PHI,78,8.2,2.4,1,0.4,0.2,0.442,0.401,0.576,0.867
Daishen Nix,PG,20,HOU,57,4,1.7,2.3,0.5,0.1,0.342,0.286,0.423,0.667
Zeke Nnaji,PF,22,DEN,53,5.2,2.6,0.3,0.3,0.4,0.561,0.262,0.71,0.645
Nerlens Noel,C,28,TOT,17,2.1,2.7,0.6,0.9,0.6,0.361,0.5,0.353,0.667
Nerlens Noel,C,28,DET,14,2.3,2.6,0.5,0.9,0.6,0.4,0.5,0.393,0.7
Nerlens Noel,C,28,BRK,3,1,3,1,1,0.3,0.167,0,0.167,0.5
Jaylen Nowell,SG,23,MIN,65,10.8,2.6,2,0.6,0.1,0.448,0.289,0.542,0.778
Frank Ntilikina,SG,24,DAL,47,2.9,1.3,1.2,0.3,0.1,0.364,0.254,0.477,0.667
Kendrick Nunn,SG,27,TOT,70,7.1,1.6,1.3,0.4,0.1,0.424,0.354,0.493,0.854
Kendrick Nunn,SG,27,LAL,39,6.7,1.4,0.9,0.3,0.1,0.406,0.325,0.488,0.81
Kendrick Nunn,SG,27,WAS,31,7.5,1.7,1.8,0.5,0.1,0.447,0.392,0.5,0.9
Jusuf Nurkic,C,28,POR,52,13.3,9.1,2.9,0.8,0.8,0.519,0.361,0.567,0.661
Jordan Nwora,SF,24,TOT,62,8.7,3.7,1.4,0.4,0.2,0.436,0.408,0.462,0.791
Jordan Nwora,SF,24,MIL,38,6,3.1,1,0.3,0.2,0.386,0.392,0.379,0.86
Jordan Nwora,SF,24,IND,24,13,4.7,2.1,0.5,0.3,0.476,0.422,0.518,0.721
Royce O'Neale,SF,29,BRK,76,8.8,5.1,3.7,0.9,0.6,0.386,0.389,0.379,0.725
Chuma Okeke,SF,24,ORL,27,4.7,3.6,1.4,0.7,0.4,0.352,0.302,0.472,0.762
Josh Okogie,SG,24,PHO,72,7.3,3.5,1.5,0.8,0.5,0.391,0.335,0.442,0.724
Onyeka Okongwu,C,22,ATL,80,9.9,7.2,1,0.7,1.3,0.638,0.308,0.647,0.781
Isaac Okoro,SF,22,CLE,76,6.4,2.5,1.1,0.7,0.4,0.494,0.363,0.617,0.757
KZ Okpala,PF,23,SAC,35,1.3,1,0.4,0.2,0.2,0.421,0.333,0.529,0.875
Victor Oladipo,SG,30,MIA,42,10.7,3,3.5,1.4,0.3,0.397,0.33,0.471,0.747
Kelly Olynyk,C,31,UTA,68,12.5,6.2,3.7,0.9,0.5,0.499,0.394,0.576,0.853
Eugene Omoruyi,SF,25,TOT,40,7,2.8,0.7,0.7,0.1,0.443,0.281,0.547,0.68
