Player,Pos,Age,Tm,G,PTS,TRB,AST,STL,BLK,FG%,3P%,2P%,FT%
Matisse Thybulle,SF-SG,25,TOT,71,4.1,2,0.7,1.2,0.5,0.435,0.365,0.533,0.679
Matisse Thybulle,SF,25,PHI,49,2.7,1.3,0.5,0.9,0.3,0.431,0.333,0.547,0.75
Matisse Thybulle,SG,25,POR,22,7.4,3.5,1.4,1.7,0.8,0.438,0.388,0.519,0.625
Xavier Tillman Sr.,C,24,MEM,61,7,5,1.6,1,0.5,0.614,0.267,0.632,0.551
Isaiah Todd,PF,21,WAS,6,1.5,2,0.7,0.2,0,0.158,0.1,0.222,1
Obi Toppin,PF,24,NYK,67,7.4,2.8,1,0.3,0.2,0.446,0.344,0.593,0.809
Juan Toscano-Anderson,SF,29,TOT,52,3,2.4,1.3,0.3,0.2,0.448,0.186,0.56,0.792
Juan Toscano-Anderson,SF,29,LAL,30,2.7,2,0.8,0.3,0.2,0.5,0.2,0.63,0.733
Juan Toscano-Anderson,SF,29,UTA,22,3.4,2.9,1.8,0.3,0.1,0.403,0.174,0.5,0.889
Karl-Anthony Towns,PF,27,MIN,29,20.8,8.1,4.8,0.7,0.6,0.495,0.366,0.576,0.874
Gary Trent Jr.,SG,24,TOR,66,17.4,2.6,1.6,1.6,0.2,0.433,0.369,0.493,0.839
P.J. Tucker,PF,37,PHI,75,3.5,3.9,0.8,0.5,0.2,0.427,0.393,0.482,0.826
Myles Turner,C,26,IND,62,18,7.5,1.4,0.6,2.3,0.548,0.373,0.638,0.783
Stanley Umude,SG,23,DET,1,2,0,0,1,1,0,0,0,1
Jonas Valanciunas,C,30,NOP,79,14.1,10.2,1.8,0.3,0.7,0.547,0.349,0.577,0.826
Jarred Vanderbilt,PF,23,TOT,78,7.9,7.5,2.4,1.1,0.3,0.548,0.322,0.604,0.691
Jarred Vanderbilt,PF,23,UTA,52,8.3,7.9,2.7,1,0.3,0.556,0.333,0.606,0.657
Jarred Vanderbilt,PF,23,LAL,26,7.2,6.7,1.6,1.2,0.2,0.529,0.303,0.598,0.784
Fred VanVleet,PG,28,TOR,69,19.3,4.1,7.2,1.8,0.6,0.393,0.342,0.455,0.898
Devin Vassell,SG,22,SAS,38,18.5,3.9,3.6,1.1,0.4,0.439,0.387,0.48,0.78
Gabe Vincent,PG,26,MIA,68,9.4,2.1,2.5,0.9,0.1,0.402,0.334,0.512,0.872
Noah Vonleh,C,27,BOS,23,1.1,2.1,0.3,0.1,0.3,0.458,0.25,0.5,1
Nikola Vucevic,C,32,CHI,82,17.6,11,3.2,0.7,0.7,0.52,0.349,0.594,0.835
Dean Wade,PF,26,CLE,44,4.7,3.4,0.8,0.6,0.5,0.412,0.354,0.56,0.652
Franz Wagner,SF,21,ORL,80,18.6,4.1,3.5,1,0.2,0.485,0.361,0.544,0.842
Moritz Wagner,C,25,ORL,57,10.5,4.5,1.5,0.6,0.2,0.5,0.313,0.631,0.841
Ish Wainright,SF,28,PHO,60,4.2,2.3,0.9,0.6,0.4,0.37,0.329,0.5,0.839
Jabari Walker,SF,20,POR,56,3.9,2.3,0.6,0.2,0.2,0.419,0.286,0.472,0.756
Kemba Walker,PG,32,DAL,9,8,1.8,2.1,0.2,0.2,0.421,0.25,0.586,0.81
Lonnie Walker IV,SG,24,LAL,56,11.7,1.9,1.1,0.5,0.3,0.448,0.365,0.522,0.858
John Wall,PG,32,LAC,34,11.4,2.7,5.2,0.8,0.4,0.408,0.303,0.459,0.681
T.J. Warren,PF-SF,29,TOT,42,7.5,2.9,1,0.5,0.3,0.489,0.328,0.542,0.8
T.J. Warren,PF,29,BRK,26,9.5,2.8,1.1,0.6,0.3,0.51,0.333,0.566,0.818
T.J. Warren,SF,29,PHO,16,4.2,3.1,0.7,0.4,0.3,0.429,0.316,0.471,0.5
Duane Washington Jr.,SG,22,PHO,31,7.9,1.2,2,0.2,0.1,0.367,0.36,0.372,0.667
P.J. Washington,PF,24,CHO,73,15.7,4.9,2.4,0.9,1.1,0.444,0.348,0.518,0.73
TyTy Washington Jr.,PG,21,HOU,31,4.7,1.5,1.5,0.5,0.1,0.363,0.238,0.488,0.556
Yuta Watanabe,SF,28,BRK,58,5.6,2.4,0.8,0.4,0.3,0.491,0.444,0.557,0.723
Lindy Waters III,SG,25,OKC,41,5.2,1.8,0.7,0.3,0.3,0.393,0.358,0.75,0.8
Trendon Watford,PF,22,POR,62,7.4,3.8,2.1,0.5,0.2,0.56,0.391,0.602,0.72
Peyton Watson,SG,20,DEN,23,3.3,1.6,0.5,0.1,0.5,0.492,0.429,0.511,0.55
Blake Wesley,SG,19,SAS,37,5,2.2,2.7,0.7,0.1,0.321,0.385,0.301,0.591
Russell Westbrook,PG,34,TOT,73,15.9,5.8,7.5,1,0.5,0.436,0.311,0.487,0.656
Russell Westbrook,PG,34,LAL,52,15.9,6.2,7.5,1,0.4,0.417,0.296,0.467,0.655
Russell Westbrook,PG,34,LAC,21,15.8,4.9,7.6,1.1,0.5,0.489,0.356,0.54,0.658
Coby White,SG,22,CHI,74,9.7,2.9,2.8,0.7,0.1,0.443,0.372,0.54,0.871
Derrick White,SG,28,BOS,82,12.4,3.6,3.9,0.7,0.9,0.462,0.381,0.548,0.875
Jack White,SF,25,DEN,17,1.2,1,0.2,0.2,0.1,0.421,0.333,0.5,0.667
Joe Wieskamp,SF,23,TOR,9,1,0.4,0.3,0,0,0.214,0.25,0,0
Aaron Wiggins,SG,24,OKC,70,6.8,3,1.1,0.6,0.2,0.512,0.393,0.573,0.831
Andrew Wiggins,SF,27,GSW,37,17.1,5,2.3,1.2,0.8,0.473,0.396,0.53,0.611
Lindell Wigginton,PG,24,MIL,7,7.1,1,2,0,0.3,0.486,0.333,0.632,0.889
Alondes Williams,SG,23,BRK,1,0,1,0,0,0,0,0,0,0
Donovan Williams,SG,21,ATL,2,2,1,0,0,0,0.4,0,0.667,0
Grant Williams,PF,24,BOS,79,8.1,4.6,1.7,0.5,0.4,0.454,0.395,0.546,0.77
Jalen Williams,SG,21,OKC,75,14.1,4.5,3.3,1.4,0.5,0.521,0.356,0.579,0.812
Jaylin Williams,C,20,OKC,49,5.9,4.9,1.6,0.6,0.2,0.436,0.407,0.463,0.704
Jeenathan Williams,SG,23,POR,5,10.6,3,2,0.6,0.4,0.615,0.375,0.677,0.667
Kenrich Williams,PF,28,OKC,53,8,4.9,2,0.8,0.3,0.517,0.373,0.608,0.436
Mark Williams,C,21,CHO,43,9,7.1,0.4,0.7,1,0.637,0,0.637,0.691
Patrick Williams,PF,21,CHI,82,10.2,4,1.2,0.9,0.9,0.464,0.415,0.498,0.857
Robert Williams,C,25,BOS,35,8,8.3,1.4,0.6,1.4,0.747,0,0.751,0.61
Vince Williams Jr.,SG,22,MEM,15,2,1,0.3,0.4,0.1,0.3,0.143,0.667,1
Ziaire Williams,SF,21,MEM,37,5.7,2.1,0.9,0.4,0.2,0.429,0.258,0.596,0.773
Zion Williamson,PF,22,NOP,29,26,7,4.6,1.1,0.6,0.608,0.368,0.618,0.714
Dylan Windler,SF,26,CLE,3,1.7,0,0.3,0.3,0,0.667,0.5,1,0
Justise Winslow,PF,26,POR,29,6.8,5,3.4,1,0.4,0.409,0.311,0.438,0.714
James Wiseman,C,21,TOT,45,10,5.9,0.7,0.2,0.6,0.558,0.2,0.58,0.701
James Wiseman,C,21,GSW,21,6.9,3.5,0.7,0.1,0.3,0.628,0.5,0.63,0.684
James Wiseman,C,21,DET,24,12.7,8.1,0.7,0.2,0.8,0.531,0.167,0.559,0.712
Christian Wood,C,27,DAL,67,16.6,7.3,1.8,0.4,1.1,0.515,0.376,0.594,0.772
Delon Wright,PG,30,WAS,50,7.4,3.6,3.9,1.8,0.3,0.474,0.345,0.564,0.867
McKinley Wright IV,PG,24,DAL,27,4.2,1.7,2.1,0.3,0.2,0.469,0.321,0.529,0.684
Gabe York,SG,29,IND,3,8,2,1.7,0.7,0,0.381,0.333,0.667,1
Thaddeus Young,PF,34,TOR,54,4.4,3.1,1.4,1,0.1,0.545,0.176,0.622,0.692
Trae Young,PG,24,ATL,73,26.2,3,10.2,1.1,0.1,0.429,0.335,0.476,0.886
Omer Yurtseven,C,24,MIA,9,4.4,2.6,0.2,0.2,0.2,0.593,0.429,0.65,0.833
Cody Zeller,C,30,MIA,15,6.5,4.3,0.7,0.2,0.3,0.627,0,0.649,0.686
Ivica Zubac,C,25,LAC,76,10.8,9.9,1,0.4,1.3,0.634,0,0.637,0.697
